country,avg_health_expenditure,avg_hiv_incidence
Afghanistan,51.25766866954545,0.10000000000000003
Albania,263.12258052833334,0.09625000000000002
Algeria,203.52360582333333,0.10000000000000003
Angola,83.84885331,1.0662500000000001
Argentina,951.4063886,0.12999999999999998
Armenia,315.4511821275,0.14
Australia,4536.683800739567,0.10000000000000003
Azerbaijan,151.24504049583336,0.10125000000000005
Bahrain,870.6883532216665,0.08875000000000004
Bangladesh,27.515090425833336,0.010000000000000004
Barbados,1087.6845321662502,0.47333333333333333
Belgium,4317.303995768334,0.10000000000000003
Belize,245.25172614958333,0.6612500000000001
Benin,30.214420517916665,0.42624999999999985
Bhutan,82.67549641958333,0.10000000000000003
Botswana,364.31175486333336,7.891666666666669
Brazil,703.9302768708334,0.26541666666666663
Bulgaria,539.7087291079167,0.10000000000000003
Burkina Faso,34.94302713916667,0.33958333333333335
Burundi,17.217409273333335,0.47458333333333336
Cabo Verde,159.41180912708336,0.41625
Cambodia,63.65028262166667,0.23041666666666663
Cameroon,53.706661780416674,1.9125000000000003
Canada,4392.719700026088,0.10000000000000003
Central African Republic,24.23074475916667,2.1191666666666666
Chad,31.922307371249996,0.6916666666666668
Chile,978.2212817376002,0.17120000000000007
Colombia,393.7042185458333,0.2641666666666667
Comoros,74.52508417791667,0.09625000000000004
Costa Rica,666.06483840875,0.19916666666666674
Croatia,939.4277776087501,0.10000000000000003
Cuba,632.6801808671429,0.18000000000000002
Denmark,5484.8951953132,0.10000000000000003
Djibouti,59.60802284833333,1.0145833333333332
Dominican Republic,272.1151895520834,0.53875
Ecuador,322.74510018000007,0.16499999999999998
El Salvador,296.8586018891666,0.19000000000000003
Eritrea,24.954865772916662,0.2604166666666667
Estonia,1147.1901269536002,0.23559999999999995
Eswatini,245.4766359325,14.225
Ethiopia,17.133522331249996,0.38833333333333336
Fiji,160.68591499333337,0.26499999999999996
France,4203.875722249167,0.10000000000000003
Gabon,211.24655024166668,1.8595833333333334
Georgia,288.41795714666665,0.1329166666666667
Germany,5469.380403644667,0.10000000000000002
Ghana,60.616797805416674,0.9533333333333336
Greece,1824.3799082441667,0.10000000000000003
Guatemala,208.85546843249998,0.11916666666666671
Guinea,31.20117886833334,0.8862500000000001
Guinea-Bissau,41.341801444999994,1.8491666666666664
Guyana,209.44300317833333,0.7091666666666668
Haiti,47.576644500416656,0.8720833333333333
Honduras,155.66187190958334,0.14666666666666672
Iceland,4893.127294923201,0.10000000000000003
Indonesia,81.39162985583333,0.165
Iraq,169.15379279,0.01857142857142858
Ireland,4853.4519482428,0.10000000000000003
Italy,2858.2251855464,0.10000000000000003
Jamaica,317.8434473679166,0.6699999999999999
Jordan,262.7454713183333,0.010000000000000004
Kenya,58.32124813250001,1.8358333333333337
Latvia,831.4261175791665,0.2175
Lesotho,90.97636731375002,10.920833333333333
Libya,365.0981941225,0.10000000000000003
Lithuania,981.0942803951999,0.10000000000000003
Luxembourg,6135.489033204401,0.10000000000000003
Madagascar,18.447584867916667,0.2004166666666667
Malawi,29.92640616416666,4.004166666666667
Malaysia,302.1287574758333,0.17333333333333337
Maldives,644.1903349566666,0.025000000000000005
Mali,27.49112967625,0.5241666666666668
Malta,2049.3879089362495,0.10000000000000003
Mauritania,48.75657129416667,0.2058333333333333
Mexico,527.2612317404167,0.15291666666666667
Mongolia,143.52099013375002,0.09625000000000004
Montenegro,745.9845440207694,0.1
Morocco,148.81777032166667,0.10000000000000003
Mozambique,29.439090391666664,6.758333333333333
Myanmar,35.02086442666667,0.3629166666666667
Namibia,420.57448132916676,5.6499999999999995
Nepal,35.82910501958333,0.12708333333333335
New Zealand,3178.737485352,0.10000000000000003
Niger,22.909415245000005,0.17041666666666674
Nigeria,65.683032115,0.8295833333333335
North Macedonia,343.65613110916667,0.07000000000000002
Oman,548.3278465266666,0.10000000000000003
Panama,797.4391059866666,0.3525
Papua New Guinea,47.99165089958334,0.8241666666666667
Paraguay,289.94284153041673,0.19625000000000004
Peru,257.9367151258335,0.19125000000000003
Philippines,98.28740612708332,0.10625000000000001
Portugal,2036.3141040040005,0.14160000000000003
Qatar,1560.4166132616665,0.04750000000000001
Romania,476.46510632833343,0.10000000000000003
Rwanda,37.87202167541667,1.1833333333333336
Saudi Arabia,1038.7085227958335,0.055000000000000014
Senegal,51.07865325583333,0.2320833333333334
Serbia,517.4388829870834,0.10000000000000003
Sierra Leone,47.88866750333332,0.8858333333333334
Singapore,1981.8123321537498,0.10000000000000003
Slovenia,1950.3794775387994,0.08560000000000004
Solomon Islands,86.71461788833334,0.010000000000000004
South Africa,472.29388364041665,7.6208333333333345
South Sudan,42.47719083428571,0.6814285714285715
Spain,2439.7816594445835,0.10000000000000003
Sri Lanka,106.1658314066667,0.10000000000000003
Sudan,52.435206691249995,0.10208333333333337
Suriname,331.4540281304167,0.8450000000000001
Switzerland,7890.203552247501,0.10000000000000003
Syrian Arab Republic,57.30801049916667,0.010000000000000004
Tajikistan,45.37491404958333,0.12250000000000004
Thailand,190.5470576279167,0.3129166666666667
Timor-Leste,76.38177890000001,0.10476190476190479
Togo,35.48927688666667,1.0624999999999998
Tunisia,221.01143042333328,0.10000000000000003
Tuvalu,603.7984917966666,0.20541666666666666
Uganda,36.97400669208334,2.908333333333333
United Arab Emirates,1508.0809961958332,0.0325
Vanuatu,94.58161719541664,0.09250000000000003
Viet Nam,98.20961769416664,0.15916666666666668
Zambia,56.67342134333333,5.075000000000002
Zimbabwe,84.53877476357141,2.939285714285714
