country,gdp_per_capita,year
Burundi,219.424830882698,2024
Central African Republic,516.160999996036,2024
Malawi,522.570393642547,2024
Madagascar,544.987501003384,2024
Mozambique,656.776824637306,2024
Niger,735.270255787226,2024
Sierra Leone,806.654650417726,2024
Liberia,851.497723870206,2024
Chad,961.55975562506,2024
Lesotho,971.90771824829,2024
