country,population,year
Tuvalu,9646.0,2024
Nauru,11947.0,2024
Palau,17695.0,2024
San Marino,33977.0,2024
Marshall Islands,37548.0,2024
Monaco,38631.0,2024
Gibraltar,39329.0,2024
Liechtenstein,40450.0,2024
Sint Maarten (Dutch part),43350.0,2024
Northern Mariana Islands,44278.0,2024
