country,avg_health_expenditure,avg_under_5_mortality_rate
Afghanistan,51.2576686695455,83.59664860638705
Albania,263.1225805283337,14.537441884477934
Algeria,203.52360582333344,28.861682921648026
Andorra,2678.5281066895823,4.538768804735607
Angola,83.84885331,119.97092396020889
Antigua and Barbuda,727.144810995,11.844655315081278
Argentina,951.4063885999998,13.839257188141346
Armenia,315.45118212750003,18.463808804750443
Australia,4638.504694621666,4.685940063661999
Austria,4627.945495604999,4.206965499454075
Azerbaijan,151.24504049583322,38.423472518722214
Bahrain,870.6883532216666,9.149779518445333
Bangladesh,27.51509042583332,49.473432809114456
Barbados,1087.6845321662504,13.145147018962437
Belarus,310.7172346120831,6.043785598749916
Belgium,4317.303995768334,4.492438157399495
Belize,245.25172614958342,17.804562643170357
Benin,30.21442051791667,105.60729297002156
Bhutan,82.6754964195832,42.374009216825165
Bosnia and Herzegovina,413.07416121208337,7.105404350492689
Botswana,364.31175486333336,57.500257386101616
Brazil,703.930276870833,20.173189441363018
Brunei Darussalam,689.4400405895834,9.74654667907291
Bulgaria,539.7087291079165,10.428985867235395
Burkina Faso,34.9430271391667,120.89258166154225
Burundi,17.217409273333324,90.92131994167964
Cabo Verde,159.41180912708325,22.790989345974392
Cambodia,63.65028262166668,47.85199291507403
Cameroon,53.7066617804167,104.16852670907974
Canada,4467.4668935145855,5.622591594854991
Central African Republic,24.23074475916667,170.1253787279129
Chad,31.922307371249985,142.21694723765054
Chile,945.6594161979172,8.372619867324829
China,302.54810428708333,16.686294741100735
Colombia,393.7042185458333,17.83545936147372
Comoros,74.52508417791664,55.583711425463356
Costa Rica,666.06483840875,10.406112326516045
Croatia,939.4277776087505,5.769239597850376
Cuba,632.6801808671427,6.783159551166353
Cyprus,1813.3965225212496,3.861587686671151
Czechia,1400.236834209167,3.6326120694478354
Denmark,5432.388264974586,4.311696721447839
Djibouti,59.60802284833335,73.40030251608954
Dominica,370.0806541445834,26.75688976711697
Dominican Republic,272.11518955208334,35.322690983613334
Ecuador,322.74510017999995,19.00764917002784
El Salvador,296.8586018891668,18.586968541145325
Equatorial Guinea,193.14774370208326,108.62665432691574
Eritrea,24.954865772916687,54.9544161260128
Estonia,1093.4131469733338,4.971532078252898
Eswatini,245.4766359324998,78.13310086727142
Ethiopia,17.133522331250003,83.18018388748169
Fiji,160.68591499333323,23.524349590142567
Finland,3995.303853353749,3.0271217690573797
France,4203.875722249166,4.433440178632736
Gabon,211.2465502416666,51.639762292305626
Georgia,288.41795714666665,16.738593970735867
Germany,4570.883219400002,4.246088547839059
Ghana,60.616797805416645,64.28469857573509
Greece,1824.3799082441672,4.413378182384703
Grenada,394.95364507041654,16.529446919759113
Guatemala,208.85546843249992,34.11463541289171
Guinea,31.201178868333344,122.95439978440602
Guinea-Bissau,41.34180144499998,113.04219023386638
Guyana,209.4430031783334,35.86297059059143
Haiti,47.57664450041668,79.42995125055313
Honduras,155.66187190958334,24.306229894359905
Hungary,943.5624376937495,6.0847880310482445
Iceland,4778.608693442086,2.898019161489275
India,46.87159482708332,55.713269924124084
Indonesia,81.39162985583341,33.416535134116806
Iraq,169.15379278999995,31.681559063139417
Ireland,4747.5603586837515,4.474327743053436
Israel,2487.6632792149994,4.632889856894811
Italy,2835.747568765834,3.889359255631765
Jamaica,317.84344736791667,19.104235066307915
Japan,3728.164693196668,3.182230052020815
Jordan,262.7454713183332,18.633644238114357
Kazakhstan,247.4328527450002,20.775922991335392
Kenya,58.32124813250002,58.11791125933329
Kiribati,157.3247731520833,59.616738041241966
Kuwait,1133.4334144595837,10.34280330604977
Latvia,831.4261175791663,7.445679399702284
Lebanon,478.06382751541673,14.860058029492697
Lesotho,90.97636731374996,88.84272698561351
Liberia,45.654937167083325,110.88855256636937
Libya,365.09819412250005,18.219757040341694
Lithuania,928.9533621466667,6.373995284239451
Luxembourg,6050.721384685417,3.009432852268219
Madagascar,18.44758486791669,75.22212453683217
Malawi,29.926406164166664,82.99184288581212
Malaysia,302.12875747583325,8.323248042000664
Maldives,644.1903349566663,15.696983757118383
Mali,27.491129676249994,132.213447590669
Malta,2049.3879089362504,6.632226241959466
Marshall Islands,538.9867248529166,37.09367423587375
Mauritania,48.75657129416668,58.91339399417242
Mauritius,388.93168576499994,15.508209162288242
Mexico,527.2612317404167,18.844135059250725
Monaco,6879.609151204587,3.8648548556698694
Mongolia,143.52099013374993,29.058232282598812
Montenegro,745.9845440207692,3.831154487071893
Morocco,148.8177703216667,30.825713867942493
Mozambique,29.439090391666657,97.32561254501343
Myanmar,35.02086442666666,62.710728257894516
Namibia,420.57448132916653,57.53093778093656
Nauru,873.285353343333,23.97620843516456
Nepal,35.829105019583366,47.399530152479805
New Zealand,3101.9335174566672,5.976309107409583
Nicaragua,128.8681791620833,23.131344497203827
Niger,22.909415245,147.96740929285684
Nigeria,65.68303211500002,137.05182959636053
North Macedonia,343.65613110916684,10.537121339390675
Norway,7097.041341147499,3.2689576976829104
Oman,548.3278465266667,12.03203390704261
Pakistan,27.645374814999997,83.04115994771321
Palau,1266.9459635420833,22.136242177751328
Panama,797.4391059866664,18.786074148284065
Papua New Guinea,47.991650899583306,56.454445004463196
Paraguay,289.9428415304166,24.9768152286609
Peru,257.93671512583325,22.008643542726833
Philippines,98.28740612708329,30.2419552107652
Poland,778.3208821616665,6.04923955599467
Portugal,1997.367220560834,4.1960889465279045
Qatar,1560.4166132616667,8.80381413963106
Romania,476.4651063283332,12.492290728622013
Russian Federation,543.5312223433334,10.406798157427046
Rwanda,37.872021675416676,77.05345351497333
Samoa,184.47783629083327,19.038389270504315
San Marino,3579.6836242683335,2.7696577658255896
Sao Tome and Principe,94.21364323374998,37.63167693217596
Saudi Arabia,1038.7085227958344,12.200366059939066
Senegal,51.078653255833366,68.73839974403381
Serbia,517.4388829870827,7.671944472938776
Seychelles,522.9635772708333,14.200427505705091
Sierra Leone,47.88866750333336,153.87940271695456
Singapore,1981.8123321537505,2.796994404660331
Slovenia,1891.2065073645822,3.324128227101432
Solomon Islands,86.7146178883333,26.19177786509196
South Africa,472.2938836404164,52.84879400332769
South Sudan,42.4771908342857,129.22418716975622
Spain,2439.781659444583,3.920880675315857
Sri Lanka,106.16583140666658,11.720138639211655
Sudan,52.435206691250016,74.20607735713322
Suriname,331.4540281304165,22.767240931590397
Sweden,4924.650075276668,3.1303222245640225
Switzerland,7890.203552247501,4.582769278022978
Syrian Arab Republic,57.308010499166706,24.80377461016178
Tajikistan,45.37491404958337,41.21484036246935
Thailand,190.54705762791681,14.13280363380909
Timor-Leste,76.3817789,67.60572485696702
Togo,35.48927688666665,85.97133324543636
Tonga,193.27524344166667,13.02227752407392
Trinidad and Tobago,820.1289151504164,24.02765409151713
Tunisia,221.01143042333334,19.487072199583054
Turkmenistan,320.92531299624994,47.85424915949503
Tuvalu,603.7984917966672,30.487386852502823
Uganda,36.97400669208333,77.9739172955354
Ukraine,176.7582255277274,12.042154122482646
United Arab Emirates,1508.0809961958334,8.211089935567644
Uruguay,1137.937716166667,10.936584009064568
Uzbekistan,90.05382434625,31.023803462584812
Vanuatu,94.58161719541668,21.073321069280308
Viet Nam,98.20961769416674,23.369981437921524
Zambia,56.67342134333335,81.4592797557513
Zimbabwe,84.53877476357147,58.91730918203081
