country,avg_gdp,avg_co2_emissions
Afghanistan,415.4949455842084,6.801095873117447
Albania,2884.7849440488417,4.888193292087979
Algeria,2875.0712051221176,96.94336936257102
American Samoa,11575.37566019524,9.999999747378752E-5
Angola,1951.8286494723234,19.009777789645725
Antigua and Barbuda,11319.676793818253,0.2035291662129263
Argentina,6701.997787428529,135.93243130770597
Armenia,2613.0010138261855,6.040148571559361
Aruba,22043.266164522436,0.36237436017164815
Australia,29189.01753814684,311.25676297274504
Austria,28268.504004026745,64.6622163252397
Azerbaijan,3383.94224251601,34.119340242658346
Bahrain,14870.161808163079,18.910730895129117
Bangladesh,683.782090373372,39.58582884615118
Barbados,11339.242080043563,0.586983634666963
Belarus,4310.261292576996,64.1406859261649
Belgium,27087.97799938078,116.76612909490412
Belize,3820.244344992108,0.15782000077041713
Benin,607.9396103108583,2.6545163756067103
Bermuda,56840.26282021188,0.2115072724494067
Bhutan,1269.2992789783632,0.5317703704177229
Bosnia and Herzegovina,3669.969416501448,18.00782871246338
Botswana,3659.0563118360883,3.4703890800476076
Brazil,4956.889000714141,315.5464752197266
Brunei Darussalam,27279.146156408995,5.777747253938155
Bulgaria,5141.004398298622,61.07311782836914
Burkina Faso,408.55158338021107,1.672205453840169
Burundi,182.70165010290037,0.3019963649863547
Cabo Verde,2202.6258270726403,0.4059800013071961
Cambodia,752.4271925865106,4.554973964095115
Cameroon,1027.1752143587855,5.547361812808297
Canada,27536.8813945379,498.29185791015624
Cayman Islands,82972.18096995173,0.26491111103031373
Central African Republic,341.48997862200434,0.1982145458459854
Chad,510.68259283535156,0.7040745489976623
Chile,6750.8159678559505,51.713361740112305
China,3092.7166613218565,5274.791630415483
Colombia,3269.320567475984,59.82852901111949
Comoros,1054.2839179777307,0.12870666682720183
Costa Rica,5275.012048321655,4.939658141136169
Croatia,10914.440966696484,19.447177015032086
Cuba,3568.0043040943324,28.682813719207164
Cyprus,17559.32111694336,5.857422051429748
Czechia,15242.391369532967,121.3154026576451
Denmark,35168.517265360606,51.62086011713201
Djibouti,1457.5589197763638,0.860928203815069
Dominica,5132.076352271828,0.0486666665916952
Dominican Republic,3425.4508771074134,15.224778201363304
Ecuador,3008.0289865774726,24.328631036931817
El Salvador,2058.9646914943473,4.861509106375954
Equatorial Guinea,4481.7783261594595,2.695347151068865
Eritrea,390.07545674651703,0.6589149996638298
Estonia,14474.139315187216,19.230778217315674
Eswatini,1983.0280036061254,0.8439236375418576
Ethiopia,325.5529396344631,6.03176188252189
Faroe Islands,30380.074273374415,0.0016636363717473367
Fiji,2813.550544221579,1.2101254539056259
Finland,28243.725903113263,52.95261448946866
France,25089.17476647362,399.9039717240767
French Polynesia,15330.773555288268,0.7016181813044982
Gabon,5379.9737874738985,5.605009084398096
Georgia,2843.0623083833575,11.79373940668608
Germany,27618.307067836427,921.7780306729403
Ghana,847.4376500045535,8.149203701452775
Greece,13398.664069640907,70.24005258733575
Greenland,25421.130027284504,0.21070555630851434
Grenada,5225.685009534619,0.07847499990991007
Guam,31427.982330473384,2.952381044105139E-4
Guatemala,2092.00406054124,9.019178169423883
Guinea,1054.8669400105891,1.7473527398976412
Guinea-Bissau,553.4435695399003,0.20577636218883774
Guyana,3283.3512932503463,1.8423254468224266
Haiti,715.4154722622977,1.7631418228149414
Honduras,1331.7018028734717,5.329760007424788
Hungary,7614.56061200184,65.90328528664328
Iceland,35364.80851814855,2.8051836360584606
India,794.9192378182288,1142.1965934059838
Indonesia,1584.1722544921695,295.431055207686
Iraq,2971.173157020406,95.75172878612172
Ireland,34323.329885537765,34.2361781727184
Israel,21186.94503942083,45.91914887861772
Italy,21657.485598820345,394.69168368252843
Jamaica,3234.853307206162,7.98193998336792
Japan,27679.359757134454,1119.5865800337358
Jordan,2269.505286470038,14.639341883225875
Kazakhstan,6086.22570676874,210.8719055175781
Kenya,747.1863215347851,9.59984911138361
Kiribati,1035.2749614077657,0.03944545467807488
Kuwait,22415.92209385545,60.71630737998269
Latvia,11354.424856133848,7.941673294703166
Lebanon,4884.1935939267605,17.145402789115906
Lesotho,572.1331447396796,0.33087454573674635
Liberia,396.28518954035064,0.8118145501071756
Libya,7429.180990131689,42.432109052484684
Lithuania,12564.93997494961,13.882366720835368
Luxembourg,59736.14544839335,11.425250859694048
Madagascar,371.45146955912264,1.7633872671560809
Malawi,397.7981089881378,3.111242206229104
Malaysia,5078.159140652581,128.3414454200051
Maldives,3898.1398087645143,0.6197236343879592
Mali,485.22476715903036,1.722887276790359
Malta,13890.999752523763,1.8517872767014938
Marshall Islands,2536.765201297434,7.818181620677933E-5
Mauritania,1059.9230231415643,1.8186018201437864
Mauritius,4784.855674896478,2.135092729871923
Mexico,6101.250975835044,350.0747621016069
Mongolia,2131.955489943439,14.562246640523275
Morocco,1854.1912175958814,35.466858343644574
Mozambique,443.95590430336836,4.3870176357381485
Myanmar,433.91517919845955,11.496943655881015
Namibia,3303.4600505400904,2.34568889008628
Nauru,5902.229679154981,0.0
Nepal,421.5527191985993,4.254194523529573
Netherlands,30647.337664502917,161.90580264004794
New Caledonia,19075.113238255715,2.545545447956432
New Zealand,21311.65841354789,28.064529037475587
Nicaragua,1129.491191040241,3.4598290941931986
Niger,354.124120732112,1.0728927235711705
Nigeria,1322.5197414300353,91.43219084306197
North Macedonia,4225.644119737552,8.99114283152989
Northern Mariana Islands,18842.011617019507,9.999999747378752E-5
Norway,46075.86667911335,41.11129108775746
Oman,11267.0026504033,37.28633081262762
Pakistan,679.7918739277869,104.86791305541992
Palau,7646.620546247572,1.9219629477571558
Panama,6241.603164352646,5.997278165817261
Papua New Guinea,1283.2641821089971,3.32411273392764
Paraguay,2734.2255785466086,3.777414548397064
Peru,3023.777484715624,32.98374016501687
Philippines,1475.9746570145944,71.11287814053622
Poland,10080.325450916313,326.0774405343192
Portugal,12546.866725024125,43.42233279835094
Qatar,38940.94761219051,48.68201267936013
Romania,6634.198281791944,110.71537600065533
Russian Federation,7508.28309095228,1847.9471006651183
Rwanda,392.08006768508454,0.70714727003466
Samoa,2002.388825679552,0.18500909087332812
Sao Tome and Principe,1052.147606312472,0.07036545467986302
Saudi Arabia,17152.349643316047,308.459864321622
Senegal,922.2329236484613,5.055210934985768
Seychelles,8144.740728376921,0.5369545436718247
Sierra Leone,446.1534909998101,0.7300309110771526
Singapore,28800.25295137516,35.2552470814098
Slovenia,18757.6027579995,15.468245669773646
Solomon Islands,1146.6964230633866,0.21757037054609368
South Africa,4119.7420254851595,349.7322187943892
Spain,17117.169643166857,246.82186001864346
Sri Lanka,1512.5461373148994,10.547354542125355
Sudan,666.9804998224432,9.932309181039983
Suriname,3536.7421505195866,1.390465452454307
Sweden,32966.93389195646,60.41652339588512
Switzerland,47768.16045240139,42.9212890625
Syrian Arab Republic,1190.741348023788,32.97051676264349
Tajikistan,589.0816072613007,5.409254285267421
Thailand,2918.443416828639,154.28523434725676
Timor-Leste,845.2255676472947,0.40624571059431347
Togo,550.9013800907919,1.1897418130527844
Tonga,2308.9493042780014,0.10295306081522484
Trinidad and Tobago,9346.995311626655,20.81155652999878
Tunisia,2338.8143371584115,18.597700145027854
Turkmenistan,3063.1221047081654,55.10782352246736
Turks and Caicos Islands,27100.250203563803,0.10212916772191723
Tuvalu,2012.9903582763577,0.0
Uganda,417.752742931466,2.574107271974737
Ukraine,2334.268374794409,376.03142125982987
United Arab Emirates,33731.94348626719,104.05933293429288
United Kingdom,26123.328241701784,532.7305303400213
United States,34580.85633025242,5104.659321732955
Uruguay,7827.158609634445,5.867543667012995
Uzbekistan,1318.1522072126766,123.91255569458008
Vanuatu,1976.1872590174123,0.128321739156609
Viet Nam,1438.7968529169857,133.17328386306764
Zambia,771.778844837729,4.321641824462197
Zimbabwe,998.9218741469286,12.224409146742387
