country,avg_health_expenditure,avg_life_expectancy
Afghanistan,49.39746999850001,58.89932975769043
Albania,237.15657910454544,76.31605830337062
Algeria,203.22056908999997,74.96472965587269
Angola,83.28891983909092,57.43403059063536
Antigua and Barbuda,714.5101540313636,75.47485062570283
Argentina,907.316890369091,75.61991223421964
Armenia,278.5947016809091,72.8887070164536
Australia,4437.261136142271,81.73594006625089
Austria,4495.672008166818,80.21092987060547
Azerbaijan,139.48289862499996,70.37287047415069
Bahrain,842.8135251140909,73.54659999500622
Bangladesh,25.012564702727275,70.39851685726282
Barbados,1068.9042164204548,75.6889473886201
Belarus,289.5440205668181,71.26367453372839
Belgium,4190.758567116363,79.84120131983902
Belize,239.9371608377273,73.36471638535008
Benin,29.129770843181824,61.14107519207579
Bhutan,76.54583254772727,71.36362145163797
Bosnia and Herzegovina,385.16351699909086,76.57178474195075
Botswana,353.4595004004545,57.263648871219516
Brazil,682.4188974559092,73.6870626969771
Brunei Darussalam,689.3182067881818,76.5483003096147
Bulgaria,483.1109830681819,73.45558039347331
Burkina Faso,31.932486404545458,58.16812243606105
Burundi,16.343453732727276,57.48135323957963
Cabo Verde,147.2124951104545,73.54640475186434
Cambodia,59.5067458590909,65.96307274789521
Cameroon,51.71501844545453,57.11396639274828
Canada,4308.191489480455,80.80844116210938
Central African Republic,21.80960334454545,48.88784911415794
Chad,30.842107815454547,55.60730506434585
Chile,882.6330150250001,79.02388254801433
China,261.0154956481818,74.74776343143347
Colombia,380.4852558477273,75.6698884674997
Comoros,71.01033470863636,65.75744218537302
Costa Rica,629.2460146813636,79.75160147927024
Croatia,894.0510614572727,76.71179152979995
Cuba,632.680180867143,77.80929698641339
Cyprus,1721.5243447036353,80.8068215341279
Czechia,1295.6143216227274,77.26817113702947
Denmark,5337.068137429546,79.28502053925486
Djibouti,57.90408307772726,62.272292801828094
Dominican Republic,253.29739345181818,73.47085663766572
Ecuador,306.4129300545455,75.11421850955847
El Salvador,278.35037509,73.47710048791134
Equatorial Guinea,190.29698371909086,59.051246122880414
Eritrea,24.705870280909085,60.43504119641853
Estonia,999.3050259681821,75.11681631839636
Eswatini,241.39252784000013,48.35356024539832
Ethiopia,15.878982348636365,62.19906558412494
Fiji,155.74655914318177,67.26209137656473
Finland,3884.993119674091,79.95531995368727
France,4131.192216352728,80.99468820745295
Gabon,207.90160577909097,61.874802791711055
Georgia,264.6127775363637,72.03003588589755
Germany,4412.746937144091,79.8835783293753
Ghana,59.19203433181817,62.4781358314283
Greece,1820.6550514918183,79.99579793756658
Grenada,383.0065682154545,72.36431156505238
Guatemala,192.56624638000005,70.8100639112068
Guinea,28.91845286954545,58.08839838432543
Guinea-Bissau,38.275332147727255,55.115300207427055
Guyana,184.97100535363637,66.23990792939158
Haiti,47.05184581090911,59.755038463708125
Honduras,147.3558103381818,70.38906328605883
Hungary,908.9827922477273,74.30151794895981
Iceland,4580.470692029092,81.51894078110203
India,43.578304031818185,67.33622319770582
Indonesia,77.00808958681817,69.15217359138258
Iraq,154.5139627957895,70.48571763958847
