country,avg_gdp,avg_health_expenditure
Afghanistan,439.01094913248727,51.25766866954545
Albania,4383.255365034712,263.1225805283333
Algeria,4211.139822678071,203.52360582333333
Andorra,40040.34452350284,2678.5281066895836
Angola,3013.427920750506,83.84885331000002
Antigua and Barbuda,15911.784735610663,727.1448109950001
Argentina,9639.86620877617,951.4063885999999
Armenia,3249.4452179631458,315.4511821275
Australia,48048.57777105531,4638.504694621667
Austria,44917.91687375111,4712.400039062
Azerbaijan,4432.875946925024,151.24504049583334
Bahrain,22355.519011668253,870.6883532216666
Bangladesh,1173.1002439777985,27.515090425833332
Barbados,18251.478943651327,1087.6845321662502
Belarus,5308.560917711947,310.71723461208336
Belgium,41937.812821322164,4317.303995768333
Belize,5724.480817726443,245.25172614958333
Benin,981.4194335969552,30.214420517916665
Bhutan,2389.7729802720255,82.67549641958334
Bosnia and Herzegovina,4554.680356384172,413.07416121208325
Botswana,6021.174722021028,364.31175486333336
Brazil,8135.68631107892,703.9302768708334
Brunei Darussalam,31788.86083961933,689.4400405895834
Bulgaria,7322.342917290855,539.7087291079166
Burkina Faso,615.2309538061456,34.94302713916667
Burundi,205.77360904039256,17.217409273333335
Cabo Verde,3251.2336867858153,159.41180912708333
Cambodia,1237.6402087488657,63.65028262166667
Cameroon,1358.650533881818,53.706661780416674
Canada,43326.20717756645,4543.8869677739995
Central African Republic,398.6012832151584,24.23074475916667
Chad,871.1599961076236,31.922307371249996
Chile,11842.692295229177,978.2212817376
China,6126.694664855969,302.54810428708333
Colombia,5556.419961400509,403.7284130852001
Comoros,1308.0941646844333,74.52508417791667
Costa Rica,9046.616563582025,666.06483840875
Croatia,13084.876657002484,939.42777760875
Cuba,5820.066822949088,632.6801808671429
Cyprus,27089.25244140625,1813.3965225212503
Czechia,19325.640207827368,1451.9379272471997
Denmark,55595.0736274732,5484.8951953132
Djibouti,1768.028670402843,59.60802284833333
Dominica,7415.525806737282,370.0806541445834
Dominican Republic,5834.901297038009,272.11518955208334
Ecuador,4635.497608033837,322.74510018000007
El Salvador,3370.7971677502537,296.8586018891667
Equatorial Guinea,9281.0473464842,193.1477437020833
Eritrea,451.9087956506728,21.705864269166668
Estonia,17569.393025401827,1147.1901269535997
Eswatini,3232.848252093206,245.47663593250002
Ethiopia,469.14938295194025,17.13352233125
Fiji,4166.624032953409,160.68591499333334
Finland,44048.26131970735,3995.3038533537506
France,38079.23816192467,4248.818037109199
Gabon,7221.743934045097,211.24655024166668
Georgia,3550.359774702289,288.41795714666665
Germany,42435.35690487216,4662.018437499199
Ghana,1420.3577198378134,60.616797805416674
Greece,21100.919858432837,1824.3799082441667
Grenada,7688.462590263486,394.9536450704166
Guatemala,3273.7324444968503,208.85546843249995
Guinea,775.4890077019209,31.20117886833333
Guinea-Bissau,631.0602878940774,41.34180144500001
Guyana,5501.594524436993,209.44300317833333
Haiti,1200.2436864504068,47.57664450041667
Honduras,1964.0188380674635,155.66187190958334
Hungary,13315.913190073725,943.56243769375
Iceland,56836.66389669499,4893.127294923201
India,1359.780140586069,46.87159482708333
Indonesia,2796.643723792682,81.39162985583333
Iraq,4461.363739325221,169.15379278999998
Ireland,63805.028273522825,4853.4519482427995
Israel,33765.44928519156,2487.663279215
Italy,33288.731962405174,2858.2251855464
Jamaica,4983.402993555293,317.84344736791667
Japan,38935.87697567731,3728.1646931966675
Jordan,3332.953181561028,262.74547131833333
Kazakhstan,7726.012711726224,247.43285274499996
Kenya,1209.871795746288,58.321248132499996
Kiribati,1525.3777449082866,157.32477315208334
Kuwait,35066.493715382174,1133.4334144595834
Latvia,12668.29687762131,831.4261175791667
Lebanon,6147.059627250838,478.0638275154167
Lesotho,930.4069638520773,90.97636731374998
Liberia,529.4306666323531,45.65493716708334
Libya,8549.220357459128,365.0981941225
Liechtenstein,178001.51215330127,10139.84596946091
Lithuania,14530.900503970955,981.0942803952001
Luxembourg,103453.76625309793,6135.489033204401
Madagascar,431.09621870331466,18.447584867916667
Malawi,510.61393282983494,29.926406164166668
Malaysia,8429.878152431982,302.1287574758333
Maldives,7435.492138286111,644.1903349566666
Mali,766.2240574024814,27.49112967625
Malta,23830.892979972166,2049.38790893625
Marshall Islands,3819.415075370065,538.9867248529166
Mauritania,1478.1599559700414,48.75657129416667
Mauritius,8200.887038607316,388.93168576500005
Mexico,9725.004393922127,527.2612317404165
Monaco,166238.45478475819,6879.609151204582
Mongolia,2869.1171662976053,143.52099013375002
Montenegro,8145.305934370345,745.9845440207694
Morocco,2905.8270161946634,148.8177703216667
Mozambique,505.967725789585,29.439090391666664
Myanmar,865.0854941027824,35.02086442666667
Namibia,4229.589800761171,420.5744813291667
Nauru,6989.967680550286,873.2853533433332
Nepal,722.1122260953681,35.82910501958333
Netherlands,49035.20789541889,4832.6712988276
New Zealand,35410.26967344285,3178.7374853519996
Nicaragua,1673.025739921285,128.86817916208335
Niger,452.8069984044721,22.909415244999995
Nigeria,1990.4571195971646,65.68303211499999
North Macedonia,4966.323618211792,343.65613110916667
Norway,77699.93712561749,7097.041341147502
Oman,18423.738134627336,548.3278465266667
Pakistan,1116.0808753599088,27.645374814999997
Palau,12082.150062579729,1266.9459635420833
Panama,10405.652669624893,797.4391059866665
Papua New Guinea,1876.0823603504596,47.991650899583334
Paraguay,4455.904747495344,289.9428415304167
Peru,5019.584975647039,257.93671512583336
Philippines,2321.7190012324286,98.28740612708333
Poland,12802.525645338172,827.7531591800001
Portugal,21034.437040187797,2036.314104004
Qatar,66267.10275534623,1560.4166132616665
Romania,8834.12004786696,476.4651063283333
Russian Federation,9534.199732462564,543.5312223433333
Rwanda,593.2182006506799,37.87202167541667
Samoa,3365.9998802099217,184.47783629083335
San Marino,52616.8630549979,3579.683624268333
Sao Tome and Principe,1337.1108984399837,94.21364323375
Saudi Arabia,22616.177729271043,1038.7085227958332
Senegal,1222.9877252832707,51.07865325583332
Serbia,6129.031794504282,517.4388829870834
Seychelles,13321.813526941345,522.9635772708333
Sierra Leone,708.4049487634126,47.88866750333333
Singapore,49843.976596213244,1981.8123321537498
Slovenia,22488.295677594087,1950.3794775388005
Solomon Islands,1667.3858654168819,86.71461788833334
South Africa,6033.123630222207,472.29388364041665
Spain,27596.17646999819,2439.781659444584
Sri Lanka,2739.735234893677,106.16583140666667
Sudan,947.1428362528485,52.435206691249995
Suriname,5712.1473953872855,331.4540281304167
Sweden,49835.68095358598,4987.0546582032
Switzerland,73831.3258036961,7890.203552247501
Syrian Arab Republic,1419.8223952689382,58.35009011043479
Tajikistan,688.6331032894362,45.37491404958333
Thailand,4925.728698941364,190.5470576279167
Timor-Leste,1137.3802581421135,76.3817789
Togo,719.179511467897,35.489276886666666
Tonga,3600.4146881343654,193.27524344166667
Trinidad and Tobago,15758.647371209707,820.1289151504166
Tunisia,3611.316015309096,221.0114304233333
Turkmenistan,4185.260893122745,320.92531299625
Tuvalu,3488.857205883815,603.7984917966667
Uganda,645.2936819016174,36.974006692083336
Ukraine,2668.8943897594118,176.75822552772726
United Arab Emirates,42840.22655642092,1508.0809961958337
United Kingdom,42200.13760219092,4061.956782225999
United States,53247.83897366483,8431.140787761668
Uruguay,13009.458025557904,1137.9377161666664
Uzbekistan,1630.2191838391766,90.05382434625
Vanuatu,2592.0207449657014,94.58161719541665
Viet Nam,2022.1425164404964,98.20961769416665
Zambia,1143.7580893673867,56.67342134333334
Zimbabwe,1858.2691997678064,84.53877476357142
