country,avg_health_expenditure,avg_doctors_per_10k
Afghanistan,55.28163063625,2.4993750229477882
Albania,211.53338572266665,13.062666765848796
Algeria,182.5518766142857,13.564285823277064
Andorra,2673.6766092052176,36.37000000995138
Angola,94.26727295,1.7239999771118164
Antigua and Barbuda,733.14388021,17.40999968846639
Argentina,1295.3528493241668,51.14833323160807
Armenia,295.8204187317391,28.02434788579526
Australia,4536.683800739565,32.3804348655369
Austria,4627.945495605,48.115416526794434
Azerbaijan,144.78566799956522,34.17043453714122
Bahrain,826.9036443809524,9.341428597768148
Bangladesh,29.22874051863636,4.474090933799744
Barbados,1048.3621477414285,22.571428571428573
Belarus,310.71723461208336,39.13791640599569
Belgium,4317.303995768333,32.302916606267296
Belize,239.56838684,10.373999977111817
Benin,34.661780167,0.9920000016689301
Bhutan,98.2390997757143,3.5228571551186696
Bosnia and Herzegovina,359.0850261695,17.664499759674072
Botswana,352.27624664350003,3.6220000267028807
Brazil,939.6966552716666,21.454999923706055
Brunei Darussalam,713.4499368117646,14.052941210129681
Bulgaria,508.4840661752173,38.691739123800524
Burkina Faso,40.25172948875,0.6687499992549419
Burundi,20.59463605090909,0.5727272683923895
Cabo Verde,206.3946638853846,6.052307743292588
Cambodia,66.70233755846154,1.9423076739678016
Cameroon,56.44098854,1.0610000014305114
Canada,5791.407633463333,25.535000165303547
Central African Republic,36.01698057714286,0.5542857136045184
Chad,33.91977113,0.48733333150545755
Chile,1000.8610132381818,18.559090961109508
China,282.5120381904348,16.783913031868313
Colombia,388.77524334391313,18.05043473451034
Comoros,79.65626192125,2.768749952316284
Costa Rica,743.7080061161112,22.49833345413208
Croatia,912.9533505652173,29.99521769648013
Cuba,632.6801808671429,70.88809549240838
Cyprus,1766.180502186087,23.48478250918181
Czechia,1327.4502499236842,37.18263124164782
Denmark,5337.0681374295455,36.8510908647017
Djibouti,56.62151565399999,1.9019999742507934
Dominica,383.57861837,13.806666692097982
Dominican Republic,344.2037624766666,17.67888906266954
Ecuador,296.8301473338096,14.240952310108003
El Salvador,352.09522574428576,20.06999969482422
Equatorial Guinea,181.10436502999997,2.1600000063578286
Eritrea,24.809519642608688,0.5939130433227705
Estonia,1042.758948285217,32.65434737827467
Eswatini,239.06468686181816,2.2736364115368235
Ethiopia,17.833988226153846,0.610769217977157
Fiji,133.93003235,5.609999942779541
Finland,3884.9931196740913,33.75136366757479
France,4162.780984629565,32.867391420447305
Gabon,209.93359811000002,5.141428640910557
Georgia,288.41795714666665,49.60583305358887
Germany,4491.590204652608,38.52478259542714
Ghana,72.83675458722222,1.1894444459014468
Greece,1818.3705152430437,56.179565263831094
Grenada,337.96533202999996,7.867142881665911
Guatemala,247.44403457750002,7.100000202655792
Guinea,34.43177533125,1.3200000002980232
Guinea-Bissau,49.835876083,1.5959999978542327
Guyana,221.4876699475,10.857499837875366
Haiti,63.919103240000005,1.9820000171661376
Honduras,148.54073969499998,4.319999972979228
Hungary,922.8532064691304,32.04782602061396
Iceland,4778.608693442084,37.959166526794434
India,58.979412079999996,7.719999994550433
Indonesia,105.39089187083334,4.0541666348775225
Iraq,212.71435852100004,8.169000005722046
Ireland,4747.56035868375,33.8616669178009
Israel,2487.663279215,35.7079168955485
Italy,2816.281281843913,40.584347932235055
Jamaica,338.2049611422222,4.882222255071004
Japan,3725.3349812825,22.635000069936115
Jordan,242.5361983352941,22.15352933547076
Kazakhstan,247.43285274499996,36.140416860580444
Kenya,68.08311271461538,1.7376923194298377
Kiribati,154.8389549225,2.365000009536743
Kuwait,1230.0227823893333,22.018666712443032
Latvia,796.0352842913044,31.166086943253227
Lebanon,564.4886357246154,23.796153875497673
Lesotho,95.54073905999999,2.0150000154972076
Liberia,59.48846212916667,0.8416666723787785
Libya,369.4163589466666,18.080000241597492
Lithuania,928.9533621466668,41.78583335876465
Luxembourg,5767.579684787778,26.419444296095108
Madagascar,18.590125356428576,1.5921428629330225
Malawi,31.567891477499998,0.2800000039860606
Malaysia,302.1287574758333,13.581666688124338
Maldives,719.1502821177778,16.490000406901043
Mali,29.869942945294117,1.030588234172148
Malta,1980.9499511726085,35.11495656552522
Marshall Islands,455.12638854749997,5.7850000858306885
Mauritania,55.910002969090904,1.8281818194822832
Mauritius,369.28970822363635,14.832727128809148
Mexico,517.0991808021738,20.71391308825949
Monaco,8008.114606584287,80.105712890625
Mongolia,134.12582438956522,30.87086942921514
Montenegro,745.9845440207694,25.261538432194637
Morocco,161.91840144285715,6.834285804203579
Mozambique,33.77609876538462,0.6969230748139895
Myanmar,29.623974028461536,5.640000031544612
Namibia,425.7208658866667,4.351666649182637
Nauru,645.5141245533333,11.24833313624064
Nepal,49.81695683777778,6.955555412504408
New Zealand,3019.5287502130436,27.388260551120926
Nicaragua,126.36302134133332,7.434000078837077
Niger,26.03077193642857,0.3314285682780402
Nigeria,69.71028342692308,3.539230750157283
North Macedonia,316.8943516131818,27.10590934753418
Norway,7097.041341147502,40.92249997456869
Oman,540.3403227430435,19.006956473640773
Pakistan,27.975525115,7.986111058129205
Palau,1592.5902820945455,18.569999954917215
Panama,785.457507045909,14.847272786227139
Papua New Guinea,51.14154597857142,0.56142857670784
Paraguay,371.32526270500006,20.84333340326945
Peru,346.42712707499993,14.215999794006347
Philippines,90.08675367227272,8.894090847535567
Poland,778.3208821616668,25.15791694323222
Portugal,1964.1108849569564,42.947825887928836
Qatar,1566.96762085125,29.71375012397766
Romania,451.4854344908696,26.086086936618972
Russian Federation,523.539898747826,44.91956511787746
Rwanda,46.80745849699999,1.1300000071525573
Samoa,201.4042027788889,4.211111068725586
San Marino,4148.742187501667,49.74500020345052
Sao Tome and Principe,100.5828533175,4.462499976158142
Saudi Arabia,1188.4413344435293,24.06705889982336
Senegal,60.96544901555555,0.84888889392217
Serbia,550.0959472657895,29.398421036569697
Seychelles,524.0584520614285,18.10500032561166
Sierra Leone,41.81173379,0.5628571510314941
Singapore,1897.4736275056523,19.720869520436164
Slovenia,1841.3561640195655,26.666956362516984
Solomon Islands,89.9077234275,1.7925000041723251
South Africa,535.75778198125,7.3400000631809235
South Sudan,40.4348902675,0.39500000327825546
Spain,2410.78868302087,37.29130388342816
Sri Lanka,111.22960989761904,7.6166666348775225
Sudan,68.45248699166666,3.178333361943563
Suriname,326.5955454511111,9.664444552527534
Sweden,4816.499034534546,38.13545513153076
Switzerland,7720.92240574174,39.722609146781586
Syrian Arab Republic,58.578381181249995,14.224375069141388
Tajikistan,45.37491404958333,18.58750009536743
Thailand,184.68593052285718,3.919285706111363
Timor-Leste,94.01813616285713,7.088571412222726
Togo,43.615707571818184,0.6109090989286249
Tonga,182.67032877555553,6.405555619133843
Trinidad and Tobago,765.7312113440001,22.03066660563151
Tunisia,203.68038892875,11.066249787807465
Turkmenistan,320.92531299625,21.598333438237507
Tuvalu,427.15540059333335,10.041666825612387
Uganda,37.17967823428571,1.3100000194140844
Ukraine,153.34278818800001,31.412133407592773
United Arab Emirates,1508.0809961958337,21.077916741371155
Uruguay,1305.9419352216667,43.3550001780192
Uzbekistan,78.1944982447619,25.548571541195823
Vanuatu,92.3086700442857,1.4771428619112288
Viet Nam,96.56268286749999,7.6237499713897705
Zambia,61.28096437583334,1.5366666664679844
Zimbabwe,84.53877476357142,1.322142860719136
