country,gdp_per_capita,year
Monaco,288001.433369041,2024
Bermuda,142855.374713782,2024
Luxembourg,137781.681659123,2024
Ireland,112894.953240805,2024
Switzerland,103998.186685604,2024
Singapore,90674.066632628,2024
Norway,86785.4334489176,2024
Iceland,86040.5309851288,2024
United States,84534.0407841548,2024
Qatar,76688.6941743178,2024
